"","aic","bic","cfi","rmsea","srmr"
"One-factor model",5998.61646733706,6052.01429478261,0.884760078281641,0.136427782057525,0.0682474541016804
"Model1",5933.01232205238,5997.8525410934,0.975328089745992,0.0712148239501686,0.03587921963677
"Model2",5933.01232205237,5997.85254109339,0.975328089746007,0.071214823950147,0.0358792156131725
"Model3",5931.02933915958,5992.05542766878,0.976625778180627,0.066365644576632,0.035924319416323
"Model4",5933.01232205242,5997.85254109344,0.975328089745943,0.07121482395024,0.0358792111713523
