birth_year,gender,x102,x103,x104,x108,x109,x113,x114,x118,x119,x130,x140,x210,x258,x323
53,1,1,1,1,2,6,2,1,2,17,11,1,12,1,44
53,2,2,1,1,2,6,4,2,4,17,9,1,14,1,42
48,1,1,1,1,3,4,2,2,2,17,15,1,13,1,47
63,1,1,1,1,6,5,6,4,4,17,13,3,5,NA,27
37,1,1,1,1,2,5,2,2,2,17,10,1,33,1,58
37,2,1,1,2,2,0,3,4,2,17,15,1,21,1,65
61,2,1,1,1,1,6,2,1,3,17,12,2,4,1,39
60,1,1,1,1,8,6,2,1,3,17,12,2,8,2,27
65,2,1,1,1,2,6,2,3,2,17,12,3,3,NA,35
33,1,1,1,1,2,1,2,1,2,17,7,1,34,2,36
34,2,1,1,1,2,1,2,1,2,17,7,1,22,1,38
47,2,1,1,1,2,6,2,2,2,17,8,1,9,1,49
45,1,1,1,1,2,7,2,3,3,17,7,1,22,1,17
32,1,4,1,1,2,8,2,1,1,17,8,1,37,1,60
39,2,4,2,1,2,5,2,1,1,17,10,1,8,1,28
56,1,2,1,1,2,8,2,1,3,17,11,2,10,1,34
57,2,1,1,1,2,6,4,2,2,17,11,3,8,1,32
59,2,1,1,1,2,6,2,4,3,17,13,3,4,1,42
57,2,1,1,3,2,8,2,2,3,17,13,1,10,1,42
53,1,1,1,1,2,8,2,2,4,17,9,1,15,1,38
29,2,1,1,1,2,1,2,1,2,17,13,1,35,1,65
46,1,1,1,1,5,6,2,2,2,17,14,1,16,1,53
51,2,1,1,1,3,5,1,1,3,17,12,1,14,1,42
29,1,1,1,1,3,2,2,1,2,17,7,3,38,NA,37
51,2,4,1,6,2,7,2,3,3,17,10,1,16,1,30
49,1,1,1,1,2,6,2,1,3,17,8,1,18,1,33
43,2,1,1,1,2,6,2,3,3,17,11,2,19,1,35
35,1,1,1,1,2,2,2,1,3,17,16,1,29,1,50
56,2,1,1,1,2,3,2,2,3,17,12,1,5,1,33
49,1,1,1,1,2,1,2,2,2,17,12,1,14,1,35
44,2,1,1,1,2,1,2,2,2,17,12,3,10,1,35
49,1,1,1,1,2,7,2,4,2,17,10,1,16,NA,40
53,2,1,1,1,2,2,2,1,2,17,9,1,12,1,25
27,2,1,1,1,1,2,4,1,2,17,7,2,24,1,36
24,1,1,1,1,2,1,2,1,2,17,9,2,41,1,35
65,1,1,1,1,2,8,2,1,2,17,12,3,1,NA,30
33,2,1,1,1,4,1,2,1,2,17,7,1,18,1,35
53,2,1,1,1,5,5,4,2,3,17,9,1,6,1,30
53,1,1,1,1,2,1,2,1,2,17,12,1,11,1,46
46,1,1,1,1,2,7,2,1,5,17,18,3,12,1,43
45,1,1,1,1,6,2,5,1,4,17,20,1,NA,1,66
39,2,1,1,1,2,6,2,1,2,17,9,1,20,1,43
22,1,1,1,1,2,7,2,1,2,17,7,1,46,NA,35
